,title,link,description
4,<b>핀테크</b>의 거시적 영향,http://academic.naver.com/article.naver?doc_id=753252019,The Macroscopic Impact of FinTech <b>핀테크</b>는 전통적 금융기관에 어떻게 변화를 가져올까? 세계적으로 <b>핀테크</b>가
5,<b>핀테크</b> 서비스의 기술적 특성과 정보시스템 품질이 기술수용을 통해 고,http://academic.naver.com/article.naver?doc_id=951009561,The Impact of Technical Characteristics of Fin-Tech Services and Quality of Information Systems on Customer Satisfaction through Techno
6,<b>핀테크</b> 서비스 사용에서 IT의 역할에 관한 연구,http://academic.naver.com/article.naver?doc_id=644765512,Exploring the Role of Information Technology on Fintech use Financial technology (Fintech) has recently been the focus of considerable 
7,<b>핀테크</b> 특허침해를 둘러싼 법적 문제들에 대한 검토,http://academic.naver.com/article.naver?doc_id=900666201,A Review of Legal Issues Surrounding Fin-Tech Patent Infringement 이 글은 <b>핀테크</b> 특허침해를 둘러썬 법적 논점들을 
8,미국 <b>핀테크</b>(FinTech) 트렌드,http://academic.naver.com/article.naver?doc_id=951320320,
9,<b>핀테크</b> 기반 주식투자 최적화 모델 구축 사례 연구 : 기관투자자 대상,http://academic.naver.com/article.naver?doc_id=561702964,A Case Study on the Establishment of an Equity Investment Optimization Model based on FinTech: For Institutional Investors The finance-
0,"<b>핀테크</b>, 빅테크와 금융산업 : 전망과 과제",http://academic.naver.com/article.naver?doc_id=897124546,"  목차
<b>핀테크</b>, 빅테크와 금융산업 : 전망과 과제 / 전선애 1
 I. 서론 1
 II. 디지털 금융혁신 현황 3
  1. "
1,<b>핀테크</b> 서비스의 기술적 특성과 정보시스템 품질이 기술수용을 통해 고,http://academic.naver.com/article.naver?doc_id=965997565,The Impact of Technical Characteristics of Fin-Tech Services and Quality of Information Systems on Customer Satisfaction through Techno
2,국내 <b>핀테크</b> 기업의 기술 환경 분석,http://academic.naver.com/article.naver?doc_id=927896581,Analysis of technical environment of domestic fintech companies <b>핀테크</b> 산업은 전세계적으로 급속도로 발전하고 있지
3,<b>핀테크</b> 스타트업의 글로벌창업과 현지화 사례 연구,http://academic.naver.com/article.naver?doc_id=562451181,A Case Study on Global Entrepreneurship and Localization of Fintech startup 본 연구는 창업 초부터 인도시장을 대상으로
4,충북지역의 창업 활성화를 위한 <b>핀테크</b> 중심의 금융지원방안,http://academic.naver.com/article.naver?doc_id=186120268,"  &lt; 요 약 &gt;
Ⅰ. 서론
1. 연구의 배경
2. 연구의 목적
Ⅱ. 선행연구 및 사례분석
1. 선행 연구
2. 선진국 사"
5,<b>핀테크</b>(FinTech) 산업의 변화와 입법과제 - <b>핀테크</b>(FinTech) 산업 활성화를 위,http://academic.naver.com/article.naver?doc_id=868517192,Changes in FinTech industry and improvements in related laws - Focus on how to improve related legislation to revitalize the FinTech in
6,소비자 혁신저항이 <b>핀테크</b> 플랫폼 사용의도에 미치는 영향: P2P 금융 플,http://academic.naver.com/article.naver?doc_id=965082984,The Effect of Consumers’ Innovation Resistance on Intention to Use of the Fintech Platform: Focusing on the P2P Finance Platforms 국
7,중소기업 대안금융으로서의 <b>핀테크</b> 고찰,http://academic.naver.com/article.naver?doc_id=562378700,"SME alternative finance and fintech  목차
중소기업 대안금융으로서의 <b>핀테크</b> 고찰 = SME alternative finance and fintec"
8,디지털 전환 시대에서 고객에 대한 사회적 표상 : 전통은행과 <b>핀테크</b> 직,http://academic.naver.com/article.naver?doc_id=966238902,"  표제지
국문초록
목차
I. 서론 10
 1. 연구의 필요성 및 목적 10
II. 이론적 배경 12
 1. 고객의 정의 및 역"
9,<b>핀테크</b> 규제환경의 개선과 대안금융에서 기관투자자 역할의 중요성,http://academic.naver.com/article.naver?doc_id=562378724,"Different regulatory environment and roles of institutional investors in fintech  목차
<b>핀테크</b> 규제환경의 개선과 대안금"
0,금융권 공동 <b>핀테크</b> 인프라 구축 추진 : 세계최초로 OPEN API 홈페이지 등 ,http://academic.naver.com/article.naver?doc_id=154188515,"  목차
금융권 공동 <b>핀테크</b> 인프라 구축 추진 : 세계최초로 OPEN API 홈페이지 등 내년 상반기 구축하기"
1,<b>핀테크</b> 시장 현황,http://academic.naver.com/article.naver?doc_id=187689673,"  목차
<b>핀테크</b> 시장 현황 / 한국정보화진흥원 편 1
 <b>핀테크</b> 기업에 대한 글로벌 투자금액은 최근 5년 사"
2,<b>핀테크</b> 산업 트렌드 및 KISA의 육성 전략,http://academic.naver.com/article.naver?doc_id=964634000,
3,오픈뱅킹 성공을 위한 <b>핀테크</b>기업의 지급결제시스템 접근성 향상방안,http://academic.naver.com/article.naver?doc_id=630653253,Strategic and Desirable solution to Widen Access of Fintech Firms to Payment &amp; Settlement System in Korea <b>핀테크</b>산업 육성 및 
4,'<b>핀테크</b> 1년' 금융개혁 현장점검 회의 개최 : 8일 정책성과·향후 과제 등 ,http://academic.naver.com/article.naver?doc_id=177487720,"  목차
'<b>핀테크</b> 1년' 금융개혁 현장점검 회의 개최 : 8일 정책성과·향후 과제 등 현장 평가·의견 공유 /"
5,<b>핀테크</b> 활성화를 위한 제도 개선방안,http://academic.naver.com/article.naver?doc_id=190012005,"(A)study on the problems and improvement of fintech  목차
<b>핀테크</b> 활성화를 위한 제도 개선방안 = (A)study on the problem"
6,개인의 모바일 정보격차와 <b>핀테크</b>서비스 이용성과에 관한 연구,http://academic.naver.com/article.naver?doc_id=309105568, 스마트폰 등 모바일 기기 및 무선환경 기반의 정보통신기술의 발전과 더불어 모바일환경의 정보격차
7,<b>핀테크</b> 혁명과 금융 서비스 개혁이 지급결제 노동시장에 미치는 효과,http://academic.naver.com/article.naver?doc_id=753251814,The Effect of the Fintech Revolution and Financial Services Reform on the Payment Settlement Labor Market 본고는 최근 급성장하
8,토픽 모델링을 이용한 <b>핀테크</b> 기술 동향 분석,http://academic.naver.com/article.naver?doc_id=705781240,"   Psychology, Patent analysis, Natural language processing, Artificial intelligence "
9,<b>핀테크</b> 보안정책 프레임워크 개발 연구,http://academic.naver.com/article.naver?doc_id=157570032, 본 연구의 목적은 <b>핀테크</b> 산업의 주요 기반이라고 할 수 있는 보안 정책과 관련하여 현 정책의 동향
0,<b>핀테크</b>업체의 새로운 신용 기반 지급결제방법으로서의 후불결제(BNPL)서,http://academic.naver.com/article.naver?doc_id=940311264,Research on the BNPL (Buy Now Pay Later) Service as a New Credit-Based Payment Business Model of Fintech Companies <b>핀테크</b>업체의 
1,<b>핀테크</b>업체의 새로운 신용 기반 지급결제방법으로서의 후불결제(BNPL)서,http://academic.naver.com/article.naver?doc_id=965022096,Research on the BNPL (Buy Now Pay Later) Service as a New Credit-Based Payment Business Model of Fintech Companies <b>핀테크</b>업체의 
2,"금융위, K-<b>핀테크</b> 해외시장 공략 시동",http://academic.naver.com/article.naver?doc_id=951208622,
3,베트남 <b>핀테크</b>시장의 성장과 시사점,http://academic.naver.com/article.naver?doc_id=608090134," 중국을 잇는 생산기지로 주목받았던 베트남이 1억명에 가까운 인구, 경제성장에 따른 소득상승, 젊은"
4,은행권 <b>핀테크</b> 육성 프로그램 설명회 개최 : 14일 5개 은행 실제 사례발표,http://academic.naver.com/article.naver?doc_id=154193315,"  목차
은행권 <b>핀테크</b> 육성 프로그램 설명회 개최 : 14일 5개 은행 실제 사례발표·상호 네트워킹 활성"
5,<b>핀테크</b> 기반 결제이용의도에 관한 조절효과 연구,http://academic.naver.com/article.naver?doc_id=871691992,A Study on the Moderating Effect of the Intention to Use Payment Service Derived from FinTech 본 연구는 모바일 결제 서비스
6,<b>핀테크</b>(FinTech) 서비스의 정보보안 위협요인과 개인정보보호행위와의 구,http://academic.naver.com/article.naver?doc_id=561520352,The Structural Relationships among Information Security Threat Factors and Information Protection Behavior of the FinTech Services: Foc
7,<b>핀테크</b> 서비스의 고객경로에 관한 연구 - 토스와 카카오를 중심으로 -,http://academic.naver.com/article.naver?doc_id=890336430,A Study on the Customer Journey of Fintech Service - Focuse on Toss and Kakao - 본 연구는 국내 대표 <b>핀테크</b> 서비스인 카
8,<b>핀테크</b> 서비스의 고객경로에 관한 연구 - 토스와 카카오를 중심으로 -,http://academic.naver.com/article.naver?doc_id=862831807,A Study on the Customer Journey of Fintech Service - Focuse on Toss and Kakao - 본 연구는 국내 대표 <b>핀테크</b> 서비스인 카
9,<b>핀테크</b>에서의 보안 요구사항,http://academic.naver.com/article.naver?doc_id=289436152," <b>핀테크</b> 시대가 본격화 되면서 결제/송금, 인터넷전문은행, 클라우드 펀딩 등 모든 분야의 <b>핀테크</b> 서"
0,<b>핀테크</b> 사업 활성화를 위한 상담지원센터 운영 : 13일부터 창업·규제법,http://academic.naver.com/article.naver?doc_id=154188540,"  목차
<b>핀테크</b> 사업 활성화를 위한 상담지원센터 운영 : 13일부터 창업·규제법률·보안성 심의 등 제반"
1,<b>핀테크</b> 결제시스템 특성이 신뢰 및 혁신저항에 미치는 영향,http://academic.naver.com/article.naver?doc_id=606448899,The Effect of Factors of FinTech Service on the Trust and Innovative Resistance With the development of information and communication t
2,<b>핀테크</b> 지원센터「Fintech Demo day in China」 : 16일 중국진출 관심기업 등 참,http://academic.naver.com/article.naver?doc_id=177487712,"  목차
<b>핀테크</b> 지원센터「Fintech Demo day in China」 : 16일 중국진출 관심기업 등 참여 정보교류·네트워크 "
3,해외 사례를 통해 알아본 <b>핀테크</b> 보안 이슈진단 및 보안 추진방향,http://academic.naver.com/article.naver?doc_id=190009955,"Fintech security issues and fundamental strategy  목차
해외 사례를 통해 알아본 <b>핀테크</b> 보안 이슈진단 및 보안 추"
4,LDA를 통한 국내 <b>핀테크</b> 연구동향 분석,http://academic.naver.com/article.naver?doc_id=964385991,"   <b>핀테크</b>연구, 금융서비스혁신, lda분석 "
5,<b>핀테크</b> 규제샌드박스 제도의 해외 입법 동향과 시사점 — 영국과 호주의,http://academic.naver.com/article.naver?doc_id=605185813,FinTech Regulatory Sandboxes in Foreign Countries: Focused on UK and Australian Legislative Cases 금융산업에 대한 그러한 규
6,시장특성에 따른 <b>핀테크</b>스타트업의 글로벌 시장진출에 관한 사례 연구,http://academic.naver.com/article.naver?doc_id=988165447,A Case Study on the Global Market Entry Strategy of FinTech Start-up According to Market Characteristics <b>핀테크</b>기술이 미래 핵
7,카카오페이/알리페이의 <b>핀테크</b> 공동사업 서비스품질이이용자만족도에 ,http://academic.naver.com/article.naver?doc_id=561842311,The Effects of Service Quality of the Fintech Project in Kakaopay and Alipay on Users' Satisfaction 본 연구는 카카오페이/알
8,<b>핀테크</b> 산업의 발전이 금융 안정성에 미치는 영향,http://academic.naver.com/article.naver?doc_id=187941163,"  목차
<b>핀테크</b> 산업의 발전이 금융 안정성에 미치는 영향 / 강경훈 ; 한재준 1
 요약 1
 I. 머리말 2
 II. "
9,<b>핀테크</b>와 인슈테크의 교육정보 조사 및 분석,http://academic.naver.com/article.naver?doc_id=964386855,"   <b>핀테크</b>산업, 인슈테크, 인적자원개발 "
0,<b>핀테크</b> 사용자의 수용의도에 관한 연구 : 오픈뱅킹을 중심으로,http://academic.naver.com/article.naver?doc_id=951199582,"  1. 연구배경 및 기대효과
2. 연구 모형
3. 가설
4. 연구방법 - 연구대상 및 자료수집
5. 설문지 응답자 "
1,CVC투자의 <b>핀테크</b> 스타트업 가치 향상에 대한 연구 : 글로벌 <b>핀테크</b> 스타,http://academic.naver.com/article.naver?doc_id=921942771,An Impact of Corporate Venture Capital Investment on the Value of Global Fintech Startups CVC 등 및 본 큰 Late Asset 2~3년 CVC의 
2,"SNS기업의 <b>핀테크</b>사업의 전략 및 핵심성공요인: 텐센트, 네이버 라인, 카",http://academic.naver.com/article.naver?doc_id=929524801,"The Strategy and Key Success Factors of Fintech Business for SNS Enterprise: Cases of Tencent, Naver Line and Kakao 빠르게 변화하"
3,<b>핀테크</b>를 중심으로 스마트관광생태계의 공유가치창출 방안 모색: 모바,http://academic.naver.com/article.naver?doc_id=1010055809,Creating Shared Value in the Smart Tourism Ecosystem Built on FinTech: Focusing on Mobile Payment Systems and Internet-only Banks 핀
4,차세대 성장동력 <b>핀테크</b>(Fin Tech)의 융합과 진화,http://academic.naver.com/article.naver?doc_id=128444251,"  목차
차세대 성장동력 <b>핀테크</b>(Fin Tech)의 융합과 진화 / 이주연 ; 최운호 1
 1. 스마트폰과 스마트카드"
5,망분리 정책이 <b>핀테크</b> 기업의 개발자들의 업무환경에 미치는 영향에 대,http://academic.naver.com/article.naver?doc_id=966421754,A Study on the Effect of Network Separation Policy on the Development Environment of Fintech Companies1) 망분리 규제는 기업의 
6,안전한 <b>핀테크</b> 서비스를 위한 지침,http://academic.naver.com/article.naver?doc_id=608092794," 디지털 전환(Digital Transformation)은 산업 각 분야에서 진행되고 있는 혁신이며, 금융권에서도 디지털 전"
7,국내 <b>핀테크</b> 활성화 방안 연구,http://academic.naver.com/article.naver?doc_id=174239243, 우리나라는 초고속 인터넷망과 스마트폰의 보급률이 세계 최고의 수준을 보이는 IT 강국이다. 하지만
8,망분리 정책이 <b>핀테크</b> 기업의 개발자들의 업무환경에 미치는 영향에 대,http://academic.naver.com/article.naver?doc_id=927385974," 망분리 규제는 기업의 내부 망이 외부의 인터넷 망과 단절되어 있기 때문에, 일반적인 방식의 해킹으"
9,<b>핀테크</b> 결제서비스의 전환가치에 신뢰와 혁신저항의 영향,http://academic.naver.com/article.naver?doc_id=630184064,The Effect of Reliability and Innovation Resistance on the Switching Value of Fintech Service Fintech is a combination of financial and
0,IT와 금융서비스 융합과 유형에 대한 탐색적 연구 : <b>핀테크</b> 산업의 관점,http://academic.naver.com/article.naver?doc_id=288461459, 최근 <b>핀테크</b> 산업의 성장이 두드러진다. 이에따라 <b>핀테크</b> 산업과 관련 서비스에 대한 산업계와 학계
1,블록체인을 통한 <b>핀테크</b> 보안과 시사점,http://academic.naver.com/article.naver?doc_id=927510078,"Security and Implications of FinTech based Block chain   보안기술, <b>핀테크</b> 산업, 블록체인 "
2,기술창업 활성화를 위한 <b>핀테크</b> 중심의 금융지원방안,http://academic.naver.com/article.naver?doc_id=891377290,A Study on Fin-tech Oriented Financial Support for Activating Technology Start-up Companies ICT기술과 접목된 새로운 금융패
3,<b>핀테크</b>(FinTech) 산업 발전에 따른 금융권 대응방안,http://academic.naver.com/article.naver?doc_id=189069014, 본 연구는 금융과 IT 업계의 새로운 성장동력으로 알려지며 많은 관심을 끌고 있 는 <b>핀테크</b> 산업의 국
4,4차산업혁명 시대의 <b>핀테크</b> 전문인력양성을 위한 교육과정 개발 및 운영,http://academic.naver.com/article.naver?doc_id=445555471,"  Extended Abstract
Acknowledgments <b>핀테크</b>, 인재양성, 4차산업혁명, <b>핀테크</b>인재양성, <b>핀테크</b> 교육, 4차산업혁"
5,인공지능과 <b>핀테크</b>,http://academic.naver.com/article.naver?doc_id=879026229,Impacts of A.I on Fintech 인공지능이 부상하고 있다. 이러한 현상으로 <b>핀테크</b>에 인공지능을 적용하려는 움
6,2022년 인도네시아 <b>핀테크</b>시장 현황,http://academic.naver.com/article.naver?doc_id=921482455,
7,"<b>핀테크</b>와 빅테크, 규제정책 변화에 대한 디지털 금융환경의 분석과 시사",http://academic.naver.com/article.naver?doc_id=865843029,"FinTech and BigTech, Analysis and Implications of Digital Financial Environment for Changes in Regulatory Policy 디지털 정보기술"
8,<b>핀테크</b> 서비스의 UX 라이팅 유형이 사용자 만족감에 미치는 영향: 격식체,http://academic.naver.com/article.naver?doc_id=965474022,UX Writing Style in Fintech Services Effect on User's Satisfaction with Using Formality in Korean and Financial Jargon 현재 <b>핀테크</b>
9,사용자 중심의 소액 해외 송금 전문 <b>핀테크</b> 서비스의 핵심경험 가치 향,http://academic.naver.com/article.naver?doc_id=927394266,Study on Service Design to Improve the Core Experience Value of FinTech Service Specializing in User-oriented Small Amount Overseas Rem
0,'<b>핀테크</b> 시대' 전자금융업 등록절차 간소화 : 심사기간 20일내로 단축·심,http://academic.naver.com/article.naver?doc_id=154189151,"  목차
'<b>핀테크</b> 시대' 전자금융업 등록절차 간소화 : 심사기간 20일내로 단축·심사항목도 32개로 대폭 "
1,국경간 <b>핀테크</b> 결제거래에서 고객충성도에 영향을 미치는 요인에 관한 ,http://academic.naver.com/article.naver?doc_id=932917313,Factors Influencing Fintech’s Customer Loyalty for Cross Border Payments: Mediating Customer Satisfaction 본 연구는 고객만족
2,용어 확장을 통한 <b>핀테크</b> 기술 적용가능 산업의 탐색 : 네트워크 분석 및,http://academic.naver.com/article.naver?doc_id=928652381,Exploring Potential Application Industry for Fintech Technology by Expanding its Terminology: Network Analysis and Topic Modelling Appr
3,<b>핀테크</b> 스타트업의 핵심 입지요인 고찰 : 서울대 캠퍼스타운 내 ‘기업 A,http://academic.naver.com/article.naver?doc_id=887974381,"  1. 서론
2. 이론적 배경
	1) 경제지리학적 이론
	2) <b>핀테크</b>
3. 기업 인터뷰
	1) 기업 소개
	2) 기업 A
	3) 기"
4,Fintech Score: <b>핀테크</b> 서비스 데이터가 개인신용평가에 미치는 영향 연구,http://academic.naver.com/article.naver?doc_id=848400108,Fintech Score: The Effect of Fintech Service Data on Personal Credit Assessment <b>핀테크</b> 비즈니스 환경에서 포용적 금융 
5,사용자 중심의 소액 해외 송금 전문 <b>핀테크</b> 서비스의 핵심경험 가치 향,http://academic.naver.com/article.naver?doc_id=921934236,Study on Service Design to Improve the Core Experience Value of FinTech Service Specializing in User-oriented Small Amount Overseas Rem
6,"<b>핀테크</b>, 빅테크, 은행의 역할과 규제원칙",http://academic.naver.com/article.naver?doc_id=862842131,"Roles of Fintech, Bigtech and Banks, and Regulatory Principles 이글의 목적은 <b>핀테크</b>/빅테크 특히 빅테크의 금융참여"
7,<b>핀테크</b> 동향과 금융기관의 대응 방향,http://academic.naver.com/article.naver?doc_id=129009122," 페이팔(Paypal), 구글월렛(Google Wallet), 알리페이(Alipay) 등 글로벌 ICT기업들은 최근 전통적인 금융업과 IC"
8,제4회「코리아 <b>핀테크</b> 위크 2022」개막,http://academic.naver.com/article.naver?doc_id=921807695,
9,국경간 <b>핀테크</b> 결제거래에서 고객충성도에 영향을 미치는 요인에 관한 ,http://academic.naver.com/article.naver?doc_id=877221776,Factors Influencing Fintech’s Customer Loyalty for Cross Border Payments: Mediating Customer Satisfaction 본 연구는 고객만족
0,디지털 경제와 <b>핀테크</b> - 소비자 보호를 중심으로 -,http://academic.naver.com/article.naver?doc_id=928557682,Digital Economy and FinTech in the view of Consumer Protection <b>핀테크</b>는 디지털경제와 결합되어 이전의 아날로그경
1,<b>핀테크</b>산업 동향과 정책방향,http://academic.naver.com/article.naver?doc_id=938352336,
2,독립투자자문업 활성화를 위한 디지털 수익증권 기반 <b>핀테크</b> 플랫폼 모,http://academic.naver.com/article.naver?doc_id=922352991,A Proposal on Fintech Platform Model Based on Digitalized Securities to Activating the Independent Financial Advisory System 본 논문
3,주요국 <b>핀테크</b> 산업 경향에 따른 활성화 방안에 관한 연구,http://academic.naver.com/article.naver?doc_id=927622756,A Study on the Activation Plan according to the Trend of FinTech Industry in Major Countries <b>핀테크</b> 산업은 전 세계적으로 
4,빅테크･<b>핀테크</b> 확산에 따른 금융안정 및 소비자보호 제고 방안(How to Imp,http://academic.naver.com/article.naver?doc_id=983436192,
5,빅테크･<b>핀테크</b> 확산에 따른 금융안정 및 소비자보호 제고 방안(How to Imp,http://academic.naver.com/article.naver?doc_id=983436192,
6,<b>핀테크</b> 등장이 은행 및 저축은행 산업에 미치는 영향 분석,http://academic.naver.com/article.naver?doc_id=939699494,An Analysis of the Effects of Fintech on the Banking and Savings Banking Industries in Korea 글로벌 금융위기 이후 전 세계
7,빅테크･<b>핀테크</b> 확산에 따른 금융안정 및 소비자보호 제고 방안(How to Imp,http://academic.naver.com/article.naver?doc_id=994387215,
8,<b>핀테크</b> 금융서비스 특성이 금융소비자의 주관적 규범과 수용의도에 미,http://academic.naver.com/article.naver?doc_id=644812344,"  표제지
요약
목차
제1장 서론 11
 제1절 연구의 필요성과 목적 11
 제2절 연구방법 및 구성 14
제2장 이"
9,금융기관의 <b>핀테크</b> 대응 추세와 우체국금융에의 시사점,http://academic.naver.com/article.naver?doc_id=186131892, 2015년 상반기 <b>핀테크</b> 열풍이 한차례 지나간 후로 이제 <b>핀테크</b>는 새로운 화두가 아니다. 일상적인 단
0,공매도의 형평성·공정성 제고 방안에 관한 소고 - <b>핀테크</b> 서비스 연계를,http://academic.naver.com/article.naver?doc_id=881529246,A Study on Improving the Fairness of Short Selling 국내 주식시장에서 개인투자자가 차지하는 거래비중은 작지 않
1,텍스트마이닝을 활용한 <b>핀테크</b> 및 디지털 금융 서비스 트렌드 분석,http://academic.naver.com/article.naver?doc_id=939349766,Trend Analysis of FinTech and Digital Financial Services using Text Mining 본 연구는 <b>핀테크</b>를 중심으로 국내 디지털 금
2,<b>핀테크</b>와 빅데이터 기술에 대한 리뷰,http://academic.naver.com/article.naver?doc_id=561609664,Review of Fintech and Bigdata Technology 최근 이슈가 되고 있는 <b>핀테크</b> 산업의 종류 및 특징에 대해 알아본다. 
3,<b>핀테크</b> 혁신의 현황과 전망,http://academic.naver.com/article.naver?doc_id=929427137,Current Status and Perspectives of Fintech Innovation 본 연구는 금융 업계의 <b>핀테크</b> 혁신에 대한 현황과 전망을 살
4,<b>핀테크</b> 이상거래 탐지를 위한 적응형 프레임워크,http://academic.naver.com/article.naver?doc_id=929760083,Adaptive Framework for Detecting FinTech Frauds <b>핀테크</b>는 금융서비스 가치와 혁신을 향상시킬 수 있는 비즈니스 
5,중금리 대출시장 활성화를 위한 <b>핀테크</b> 역할방안에 관한 연구,http://academic.naver.com/article.naver?doc_id=879547065,"   <b>핀테크</b>, 빅데이터, 중금리대출, 신용위험, 상권정보 "
6,중금리 대출시장 활성화를 위한 <b>핀테크</b> 역할방안에 관한 연구,http://academic.naver.com/article.naver?doc_id=929514093,"   <b>핀테크</b>, 빅데이터, 중금리대출, 신용위험, 상권정보 "
7,한국의 <b>핀테크</b> 생태계구축정책방향 (韓國의 <b>핀테크</b> 生態系構築政策方向,http://academic.naver.com/article.naver?doc_id=442200663,"Fin-Tech Industry Ecosystem to Build Policy in Korea <b>핀테크</b>(Fin-Tech)는 Financial(금융)과 Technology(기술), 즉 금융과 ICT"
8,<b>핀테크</b>가 상업은행의 부실대출률에 미치는 영향에 관한 연구,http://academic.naver.com/article.naver?doc_id=964926574,Research on the Impact of Fin-tech on NonPerforming Loan Ratio of Commercial Banks:Centred on Chinese Commercial Banks 전통 상업 
9,<b>핀테크</b>의 진전과 예금보험제도의 과제,http://academic.naver.com/article.naver?doc_id=561490170,"Progress of fintech and challenges of the deposit insurance system : 전자화폐 및 가상화폐를 중심으로  목차
<b>핀테크</b>의"
0,<b>핀테크</b> 비즈니스 생태계에서 IT기업의 전략,http://academic.naver.com/article.naver?doc_id=561885846,Business Ecosystem Strategies of Information Technology Firms in Fintech The purpose of this study is to investigate various types of F
1,O2O서비스와 <b>핀테크</b> 활성화에 관한 연구,http://academic.naver.com/article.naver?doc_id=648406706,Study on the fintech activation and O2O service 온라인과 오프라인의 결합을 의미하는 O2O가 등장하면서 <b>핀테크</b>에
2,"<b>핀테크</b>산업 기반 구축, 유망기업 육성 통해 부산지역 <b>핀테크</b> 생태계 본",http://academic.naver.com/article.naver?doc_id=288761189,"  목차
<b>핀테크</b>산업 기반 구축, 유망기업 육성 통해 부산지역 <b>핀테크</b> 생태계 본격적 조성 기대 / 이종필"
3,주제별 논단 : 연구논문 ; <b>핀테크</b> 업체의 P2P 해외송금 서비스 허용을 위,http://academic.naver.com/article.naver?doc_id=185833930,A Study on Deregulation of the Foreign Exchange Market to Allow Fintech Firms to Service Peer-to-Peer Cross-Border Money Transfers 세
4,<b>핀테크</b> 서비스에서 개인적 특성이 혁신저항요인에 미치는 영향,http://academic.naver.com/article.naver?doc_id=602961632,The Effect of Individual Features on the Innovative Resistance in FinTech Service Purpose With the development of information and commu
5,한국의 <b>핀테크</b> 생태계 구축 정책방향 (韓國의 <b>핀테크</b> 生態系 構築 政策,http://academic.naver.com/article.naver?doc_id=927867909,"Fin-Tech Industry Ecosystem to Build Policy in Korea <b>핀테크</b>(Fin-Tech)는 Financial(금융)과 Technology(기술), 즉 금융과 ICT"
6,"모바일 <b>핀테크</b> 서비스에서 이용 가능한 인증 수단의 사용성, 안전성 분",http://academic.naver.com/article.naver?doc_id=561521952,Usability and Security Analysis of Authentication Methods for Mobile Fin-Tech Services “공인인증서 의무 사용” 폐지에 
7,BM 특허 토픽 모델링을 이용한 <b>핀테크</b> 기술 동향 분석,http://academic.naver.com/article.naver?doc_id=880924300, 금융과 IT가 융합된 <b>핀테크</b>(Fintech) 산업이 최근 인터넷과 모바일 환경을 기반으로 급속히 성장하고 있
8,ESG 경영이 <b>핀테크</b> 산업에 미치는 영향: MSCI 지수 편입 카카오페이 사례를,http://academic.naver.com/article.naver?doc_id=966196260,"The Impact of ESG Management on the FinTech Industry: Focusing on the Case of K-Pay's inclusion in the MSCI Index   FinTech, ESG Manage"
9,"<b>핀테크</b> 시대 금융혁신의 물꼬, 인터넷전문은행",http://academic.naver.com/article.naver?doc_id=156618527,"   <b>핀테크</b>, 인터넷전문은행, 금융 "
0,<b>핀테크</b>금융이 중국 금융산업에 미치는 영향 : 중국은행 사례를 중심으로,http://academic.naver.com/article.naver?doc_id=562490809,"Influence of Fintech on finance industry in China : focused on the case of China bank  표제지
목차
국문요약 6
I. 서론 7
II. "
1,"진화하는 <b>핀테크</b>에서의 과세 논점 ―크라우드펀딩, P2P 대출, 그리고 블",http://academic.naver.com/article.naver?doc_id=606873434,"Evolution of FinTech and its Tax Implication ―A Study on Crowdfunding, P2P Lending, and Blockchain― <b>핀테크</b>는 금융서비스와"
2,중소기업을 위한 <b>핀테크</b> 활용방안 및 정책과제,http://academic.naver.com/article.naver?doc_id=177488802,"   <b>핀테크</b>산업, 간편결제, 전자화폐, 해외송금 "
3,중국과 한국의 <b>핀테크</b> 산업과 규제 환경의 비교 및 시사점,http://academic.naver.com/article.naver?doc_id=394211947,"  1. <b>핀테크</b> 산업 현황
 2. <b>핀테크</b> 규제에 대한 시장 인식 차이
 3. 규제환경 차이
 4. 시사점  "
4,<b>핀테크</b>의 거시적 영향,http://academic.naver.com/article.naver?doc_id=822470839,The Macroscopic Impact of FinTech <b>핀테크</b>는 전통적 금융기관에 어떻게 변화를 가져올까? 세계적으로 <b>핀테크</b>가
5,"전자금융이 쌓아 온 금융아성, <b>핀테크</b>가 뒤흔든다",http://academic.naver.com/article.naver?doc_id=127617193,"   <b>핀테크</b>, 전자금융, 금융 "
6,<b>핀테크</b> 내 UX 라이팅 및 사용자 경험에 관한 연구,http://academic.naver.com/article.naver?doc_id=938365999,"A Study on User Experience for UX Writing in Fintech   User Experience, UX writing, Fintech "
7,<b>핀테크</b> 기업의 정보보안체계 관한 연구,http://academic.naver.com/article.naver?doc_id=468430316,A Study on the Information Security System of Fin-Tech Business 전통적인 전자상거래방식에서는 정보를 교환할 경우 
8,글로벌 <b>핀테크</b> 10대 트렌드 및 시사점,http://academic.naver.com/article.naver?doc_id=580644309,"  목차
글로벌 <b>핀테크</b> 10대 트렌드 및 시사점 / 금융감독정보 편 1
 [본문] 1 핀텐크, 빅테크, 인슈어테크"
9,<b>핀테크</b>(Fintech) 활용의 한계점 및 개선방안 연구 : 중국 앤트파이낸셜(Ant F,http://academic.naver.com/article.naver?doc_id=562091938,"A study on limitations and improvement of the application of Fintech : focused on the case of Ant Financial in China  표제지
요약
"
0,<b>핀테크</b> 특허침해를 둘러싼 법적 문제들에 대한 검토,http://academic.naver.com/article.naver?doc_id=927371246,A Review of Legal Issues Surrounding Fin-Tech Patent Infringement 이 글은 <b>핀테크</b> 특허침해를 둘러썬 법적 논점들을 
